Jokey;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
H.Y.ÜNVER AP;24;2;1;3;8.33;25.0
E.ÜSTÜN;24;0;0;3;0.0;12.5
SERHAT ÇELİK AP;24;1;2;4;4.17;29.17
A.MEHDİ ALTIN;24;6;2;0;25.0;33.33
R.BORAN DÜNDAR AP;24;2;1;0;8.33;12.5
R.KURT AP;23;1;0;0;4.35;4.35
Ç.TAŞCI;22;2;3;4;9.09;40.91
SERH.ÇELİK;21;4;0;1;19.05;23.81
İ.GÜN AP;21;0;0;1;0.0;4.76
S.AKŞIN;21;2;3;1;9.52;28.57
Y.Ş.GÜMÜŞ;21;4;0;2;19.05;28.57
M.ÇELİK;21;2;1;3;9.52;28.57
U.İRTİŞ AP;20;0;1;0;0.0;5.0
O.KIZILDAŞ;20;1;1;1;5.0;15.0
B.BAGUÇ AP;20;1;0;1;5.0;10.0
BERK.GÖKÇE;20;1;1;2;5.0;20.0
MER.ÇELİK;20;5;2;3;25.0;50.0
B.BÜLBÜL;19;1;4;2;5.26;36.84
M.UYAR;19;0;1;1;0.0;10.53
M.A.AKGÖBEK;19;2;2;3;10.53;36.84
İSM.YILDIRIM;19;3;3;5;15.79;57.89
R.YILDIZ AP;18;0;0;0;0.0;0.0
S.ALTAY;18;1;3;1;5.56;27.78
A.E.ELMAS;18;0;2;1;0.0;16.67
M.BAĞ;18;1;2;6;5.56;50.0
M.ŞAKİR;17;2;4;2;11.76;47.06
B.SARIDAL;17;3;1;4;17.65;47.06
K.DEMİREL;17;3;2;1;17.65;35.29
B.OKANDE;16;2;4;1;12.5;43.75
M.A.ALTUNDAĞ AP;15;0;1;2;0.0;20.0
O.BALKAN AP;15;0;2;1;0.0;20.0
H.ALTIN;15;0;1;3;0.0;26.67
F.FELHAN;15;1;0;0;6.67;6.67
E.AKKAYA;15;0;0;1;0.0;6.67
M.MERT KARABULUT AP;15;0;0;1;0.0;6.67
Ö.FARUK ÖZEN;15;4;1;4;26.67;60.0
A.ŞENBAHAR;14;0;0;0;0.0;0.0
E.D.ÖKTEN;14;1;0;1;7.14;14.29
U.LEVENT;14;1;1;1;7.14;21.43
ER.GÖKÇE;14;2;0;1;14.29;21.43
EFE KORKMAZ;14;2;1;2;14.29;35.71
F.HİM AP;13;0;0;1;0.0;7.69
Ö.ORDU;13;1;2;0;7.69;23.08
Z.KARABULUT;13;2;1;2;15.38;38.46
F.ÇETİN;13;2;1;1;15.38;30.77
D.KONUK;13;0;0;1;0.0;7.69
M.KAYİŞ;13;0;0;2;0.0;15.38
F.KARAKURT;13;0;1;0;0.0;7.69
O.FİDAN AP;12;0;0;0;0.0;0.0
F.YÜCEL;12;1;0;0;8.33;8.33
F.ÇELİK AP;12;0;0;0;0.0;0.0
H.İ.AKKAYA;12;0;0;0;0.0;0.0
S.ÇELİK AP;12;0;0;0;0.0;0.0
H.POLAT;12;0;1;1;0.0;16.67
D.PALAUR;12;0;1;1;0.0;16.67
SALİH ÇELİK;12;2;2;0;16.67;33.33
E.KADİRLER;12;0;1;2;0.0;25.0
B.OKANDE AP;11;1;0;0;9.09;9.09
O.AKGÖNÜL AP;11;1;1;0;9.09;18.18
A.METİN;10;0;0;2;0.0;20.0
M.TEKPETEK;10;0;2;2;0.0;40.0
M.GÖL;10;0;0;0;0.0;0.0
M.BAL;10;1;0;0;10.0;10.0
A.S.AKSOY AP;10;0;0;0;0.0;0.0
M.F.KAYA;10;1;0;2;10.0;30.0
C.A.MAYDA;10;2;1;1;20.0;40.0
S.ÇETİN;9;1;1;2;11.11;44.44
A.ÇANKAYA;9;2;0;0;22.22;22.22
K.C.ABİŞ AP;9;0;0;0;0.0;0.0
M.T.MURTOĞLU;9;1;0;0;11.11;11.11
A.CEYLAN;9;0;0;1;0.0;11.11
E.KORKMAZ;9;0;1;2;0.0;33.33
Y.E.YÜKSEL;8;1;1;1;12.5;37.5
M.M.KARABULUT;8;1;0;1;12.5;25.0
R.BAYRAM AP;8;0;0;0;0.0;0.0
K.GÖKÇE;8;2;1;0;25.0;37.5
H.YOLAÇICI;8;2;1;0;25.0;37.5
H.YÖNDEN;7;0;0;0;0.0;0.0
M.ÖZDEMİR AP;7;0;0;0;0.0;0.0
B.ÇIĞLA;7;0;0;0;0.0;0.0
AH.ARSLAN;7;0;0;0;0.0;0.0
V.KIZMAZ;7;0;0;0;0.0;0.0
S.ÇELİK;7;0;1;1;0.0;28.57
E.AVŞAR;7;0;0;0;0.0;0.0
Z.BULUT;7;0;0;0;0.0;0.0
O.AÇAR AP;6;0;0;0;0.0;0.0
Y.T.AKKAYA AP;6;0;0;1;0.0;16.67
F.KABADAYI AP;6;0;0;0;0.0;0.0
M.B.ÖNCEL;6;0;1;0;0.0;16.67
A.VURAL AP;6;0;0;0;0.0;0.0
T.YILMAZ AP;6;0;0;0;0.0;0.0
M.GÖNÜLTAŞ;6;0;1;2;0.0;50.0
MEH.KAYA AP;6;0;0;0;0.0;0.0
S.ULUTAŞ AP;6;0;0;0;0.0;0.0
M.MANAV;6;0;0;1;0.0;16.67
F.HİM;6;1;0;0;16.67;16.67
SER.YILDIZ;6;0;1;2;0.0;50.0
Ç.BEYAZTOPRAK AP;6;0;0;0;0.0;0.0
C.A.MAYDA AP;6;0;0;0;0.0;0.0
M.B.ÇAKMAK;6;1;1;1;16.67;50.0
İ.KOYUNCU AP;6;0;0;0;0.0;0.0
O.BOLAT AP;6;0;0;0;0.0;0.0
Y.TALHA AKKAYA;6;0;0;0;0.0;0.0
ALP.OLUK;6;0;0;0;0.0;0.0
Ö.ORDU AP;5;0;0;0;0.0;0.0
B.KELEŞOĞLU AP;5;0;0;0;0.0;0.0
K.ÇAYBAKAN AP;5;0;0;0;0.0;0.0
E.ŞİMŞEK;5;0;0;0;0.0;0.0
E.ŞIKLI;5;0;0;1;0.0;20.0
E.TEPE;5;1;0;0;20.0;20.0
S.GÜLENYÜZLER;5;1;0;0;20.0;20.0
MEH.YILDIRIM AP;5;0;0;0;0.0;0.0
O.AKEL AP;5;0;0;2;0.0;40.0
E.TUFAN AP;5;0;0;0;0.0;0.0
G.KAYIP AP;4;0;1;0;0.0;25.0
M.T.ERTAL AP;4;0;0;0;0.0;0.0
Y.YALVAN AP;4;0;0;0;0.0;0.0
S.AYYILDIZ AP;4;0;0;0;0.0;0.0
MEH.DOĞAN;4;0;0;0;0.0;0.0
M.F.ÇELİKKILIÇLAR AP;4;0;0;0;0.0;0.0
R.KARAKAYA AP;4;0;0;0;0.0;0.0
C.YILDIRIM AP;4;0;0;0;0.0;0.0
M.BALIK AP;4;0;0;0;0.0;0.0
D.KAYA;4;0;0;0;0.0;0.0
C.YILMAZ AP;4;0;0;0;0.0;0.0
İ.KOYUNCU;4;0;1;0;0.0;25.0
MEH.PARLAK AP;4;0;0;0;0.0;0.0
H.YİĞİT ÜNVER;4;0;0;0;0.0;0.0
M.MERT KARABULUT;4;0;0;0;0.0;0.0
M.P.DEMİR;3;0;0;0;0.0;0.0
B.KELEŞOĞLU;3;0;0;0;0.0;0.0
E.ŞİMŞEK AP;3;0;0;0;0.0;0.0
M.F.ASLAN AP;3;0;0;0;0.0;0.0
D.MALATYALI;3;0;0;0;0.0;0.0
B.BAGUÇ;3;0;0;0;0.0;0.0
B.ÇETİN;3;1;0;0;33.33;33.33
R.CANPOLAT AP;3;0;0;0;0.0;0.0
S.GÜMÜŞ AP;3;0;0;0;0.0;0.0
M.GÖMEÇ AP;3;0;0;0;0.0;0.0
E.ÖZKAN AP;3;0;0;0;0.0;0.0
İ.GÜN;3;0;0;0;0.0;0.0
O.YILMAZ AP;3;0;0;0;0.0;0.0
M.AYGÜN AP;3;0;0;0;0.0;0.0
O.AÇAR;3;0;0;1;0.0;33.33
C.AVLİ;3;0;0;0;0.0;0.0
D.TUDHOPE;3;1;0;1;33.33;66.67
R.BORAN DÜNDAR;3;0;0;0;0.0;0.0
